Code,Coordinates Lat,Coordinates Lon,Name,Time Zone,Name Translations En
ATQ,31.706741,74.8073,Amritsar,Asia/Kolkata,Amritsar
IXB,26.68488,88.324814,Bagdogra,Asia/Kolkata,Bagdogra
BLR,13.198889,77.70556,Bengaluru,Asia/Kolkata,Bengaluru
BBI,20.252853,85.81738,Bhubaneswar,Asia/Kolkata,Bhubaneswar
IXC,30.674921,76.797386,Chandigarh,Asia/Kolkata,Chandigarh
MAA,12.982267,80.16378,Chennai,Asia/Kolkata,Chennai
CJB,11.031026,77.03893,Coimbatore,Asia/Kolkata,Coimbatore
DEL,28.556555,77.10079,Delhi,Asia/Kolkata,Delhi
GOI,15.384534,73.83983,Goa,Asia/Kolkata,Goa
GAU,26.105982,91.58881,Guwahati,Asia/Kolkata,Guwahati
HYD,17.385044,78.486671,Hyderabad,Asia/Kolkata,Hyderabad
IDR,22.728651,75.80944,Indore,Asia/Kolkata,Indore
JAI,26.820772,75.80151,Jaipur,Asia/Kolkata,Jaipur
COK,10.155644,76.39053,Kochi,Asia/Kolkata,Kochi
CCU,22.64531,88.43931,Kolkata,Asia/Kolkata,Kolkata
CCJ,11.14025,75.950584,Kozhikode,Asia/Kolkata,Kozhikode
LKO,26.764257,80.884186,Lucknow,Asia/Kolkata,Lucknow
IXE,12.963543,74.890144,Mangalore,Asia/Kolkata,Mangalore
BOM,19.095509,72.87497,Mumbai,Asia/Kolkata,Mumbai
NAG,21.090036,79.05636,Nagpur,Asia/Kolkata,Nagpur
PAT,25.59489,85.09067,Patna,Asia/Kolkata,Patna
IXZ,11.650083,92.73227,Port Blair,Asia/Kolkata,Port Blair
PNQ,18.581388,73.920555,Pune,Asia/Kolkata,Pune
RPR,21.18456,81.73975,Raipur,Asia/Kolkata,Raipur
IXR,23.318192,85.32285,Ranchi,Asia/Kolkata,Ranchi
SXR,34.002308,74.762634,Srinagar,Asia/Kolkata,Srinagar
TRV,8.476126,76.91907,Thiruvananthapuram,Asia/Kolkata,Thiruvananthapuram
TRZ,10.762168,78.70724,Tiruchirappalli,Asia/Kolkata,Tiruchirappalli
VNS,25.449697,82.85373,Varanasi,Asia/Kolkata,Varanasi
VTZ,17.728151,83.22675,Vishakhapatnam,Asia/Kolkata,Vishakhapatnam